название,текст
Железные руки,"Жили три брата возле парка. И ходили они иногда в парк гулять. Причём мама им говорила - не гуляйте в парке, когда темно!  Однажды пошёл старший брат гулять в парк, когда было темно, и не вернулся. Искали братья, искали соседи, искала милиция, но не нашли.  Потом средний брат пошёл гулять в парк, когда темно, и тоже не вернулся. Искали-искали, но не нашли.  Тогда младший брат сам решил искать братьев и пошёл в парк вечером, когда стемнело. Идет он по дорожке, вдруг видит - два жёлтых огонька горят, на глаза похожи. Он остановился. И что-то заставило его обернуться. Смотрит - а сзади него чёрная прямоугольная яма, и из неё железные руки к нему тянутся, задушить хотят. Он взял нож и отрубил руки.  А утром милиция вскрыла яму и нашли трупы братьев."
Черная кошка,"Одна женщина шла из банка поздно вечером домой. Вдруг она заметила, что за ней бежит очень большая черная кошка. Женщина испугалась и побежала.  Когда она зашла в подъезд, то увидела, что эта кошка тоже зашла в подъезд за ней. Тогда эта женщина быстро открыла дверь квартиры, зашла туда и захлопнула дверь. Но она дверью прищемила кошке лапу, и кошка вскрикнула человеческим голосом.  Так продолжалось несколько дней. Потом эта женщина пошла в милицию и все рассказала. Наконец милиция поймала эту кошку.   Ученые долго не могли разгадать тайну кошки. Но вскоре один из них обнаружил под языком кошки черную кнопку. Если на эту кнопку нажать, то шкура кошки раздвигалась и оттуда выходил человек. Этот человек был бандитом и с помощью этой кошки обворовывал квартиры."
Синяя лента,"Жила мама со своей дочерью, и еще у них был отец. И она своей дочери сказала, чтобы она пошла в магазин и купила ленту к ее празднику. День рождения у нее был. Никакой ленты не было, кроме синей. И она купила синюю ленту, но продавец ей сказал, чтобы она, когда ложится спать, привязывала эту ленту к батарее. А то случится беда. Она пообещала, что так и сделает, и продавец ей продал.  После праздника все разошлись домой, а эта девочка забыла ленту привязать к батарее. И на следующую ночь она просыпается, а папа плачет. Она спросила:  - Что ты плачешь?  Он говорит:  - Мама умерла.  Ну, ее похоронили, легли спать снова. И она просыпается, смотрит: папа не дышит. И посмотрела, а у него там крови нет. Тоже он умер. И она рассказала это все соседям. А они тогда решили так: положить куклу вместо нее и чтобы она спряталась под кроватью, а сами будут стоять за дверью.  И в ночь, как только стукнуло 12, эта лента обернулась старою старушкою с дудочкой. Она подошла  к этой кукле, воткнула дудочку ей в грудь и начала высасывать кровь. Конечно, там не было крови. Эта девочка закричала, ворвались соседи, и сразу старушка обернулась снова синей лентой. После этого они разрезали ленту на несколько кусочков на мелких и выкинули в форточку. И как только они дотронулись до земли, они превратились в пуговицы. И кто поднимет такую пуговицу, с тем тоже случится беда."
Скелет и мясорубка,"Мать послала девчонку за мясорубкой. Вот несет она мясорубку, а скелет на дороге стоит и говорит:   - Дай потрусь о мясорубку, не то убью тебя.  Она дала ему. А он ей еще сказал, чтоб она никому об этом не говорила.   Дома мать перекрутила мясо и дала кошке. Та съела и сдохла. Мать спрашивает у дочки, почему так. Та ей говорит, что скелет об мясорубку потерся.  Раз, спят они, слышат - по радио объявляют:  - Внимание! Внимание! К вашему дому приближается скелет.  Девочка испугалась, спряталсь в шифоньер. Скелет зашел и убил ее."
Желтый платок,"Жила одна семья. В ней было двое бабушек, двое дедушек, мама, папа, сынок и дочка.   Однажды пропал один дедушка. Заявили в милицию, искали, искали, не нашли. Потом пропала одна бабушка, потом пропал еще один дедушка. Заявили в милицию, но их не нашли. А потом вдруг пропала еще одна бабушка.  Мальчик с девочкой пошли гулять и увидели, как страшный вампир тащит их папу и маму. А у девочки был с собой желтый платок. Она показала этот платок вампиру, а он очень боялся желтого и зеленого цветов.  Он выпустил маму и папу, а сам превратился в камень. А милиция бросила камень в речку. Семья стала дружно жить дальше."
История про Барби,"Жили женщина и мужчина, они встретились и полюбили друг друга. И решили пожениться. На свадьбу они пригласили много гостей: они были богатые. И к ним пришла одна женщина с дочкой, ну, их подруга. И дочка подарила им Барби. Ну, они не отнеслись к этому подарку как-то особо. Просто посадили ее на телевизор и стали праздновать свадьбу. Был пир, много гостей, все веселились, потом гости разъехались, все легли спать.  А в этом доме еще была служанка и собака. И там, на столе, осталось немного торта - остатки свадебного. И когда проснулись, то торта не было, и у Барби были губы в креме. Служанка была очень суеверная, и из-за этого сразу ушла из этого дома и устроилась на другую работу.  Опять прошел следующий день, они легли спать, и утром проснулись и увидели, что разбиты дорогие духи невесты, которые стояли на самой верхней полке, а Барби вся ими пахнет. И к тому же у них еще сбежала собака.  Потом они прожили еще день, и когда проснулись, невеста увидела, что рядом с ней лежит муж и у него в груди кинжал, и он мертвый, и вокруг везде кровь, а Барби в крови. И она очень испугалась и выкинула Барби в мусоропровод.  Ну, потом вроде у нее все пошло более-менее, она похоронила своего мужа, прожила еще год. И как раз, когда была годовщина их свадьбы, то сгорел этот дом, сгорела ее квартира и эта невеста тоже сгорела."
Бабушка-оборотень,"Одна девушка любила вязать. Она приехала к бабушке и попросила ее купить шерсть. Бабушка отказывалась, говорила - шерсть плохая. Но все-таки купила, и связала внучка два кружка и два половичка.   Легла она ночью спать, заснула и вдруг слышит, кто-то ее душит. Проснулась, а это кружок. Она схватила нож, перерезала его на четыре части, нож - под подушку и снова спать.   Через некоторое время опять душит. На этот раз половичок. Она скорей сбросила его с себя, разрезала на четыре части и снова легла на кровать,  а нож под подушку положила. И так продолжалось всю ночь.  Утром проснулась девушка и видит: лежит на кровати бабушка, у нее руки на четыре части разрезаны, ноги на четыре части, туловище и голова"
Старик и домовой,"В одном городе жил старик. Ему было 90 лет. И с ним жил домовой. И дед говорит:  - Домовой, где ты?  А он встал на шкаф с молотком, а дед его не видел. И домовой как ударит ему по башке!.. И он упал и тут же умер."
Речка с обрывом,"Возле одной деревни был лес и речка с обрывом. Одна девушка с парнем пошли погулять вдоль реки. Парень пошел в лес, и сказал чтоб девушка его подождала тут.   Когда она стояла одна, к ней подошла цыганка и сказала что ее жених умер. Девушка от горя сразу прыгнула с обрыва, а когда парень вернулся, то увидел что никого нет, и вернулся один домой.   С тех пор всех, кто купается в этом месте, та девушка уволакивает на дно, думая что это ее жених."
Карта с хвостатой женщиной,"Жила девочка. У нее был день рожденья. На день рожденья ей подарили игральные карты с картинками. На одной карте была нарисована женщина вся в шерсти и с хвостом. Она смотрела на волка. Женщина, которая подарила девочке карты сказала, что это нарисована Вульпина.  Девочка и ее подруги стали смотреть карты, и им очень понравилась женщина с хвостом. Они решили ее сделать. Взяли стул, привязали в нему сверху собаку, надели поверх свитер одной девочки и юбку, чтобы голова торчала, украсили бусами, дали в руку ту карту и выключили свет. Потом стали повторять:  - Вульпина, появись! Вульпина, появись!   Вдруг Вульпина закричала, и пошла на девочек ножками стула. Она стала разевать рот, кричать и выть. А родители девочек смотрели в другой комнате телевизор и ничего не слышали. Вульпина подошла к девочке и зубами оторвала ей лицо. Остальные девочки хотели убежать, но дверь закрылась, и они не смогли выйти. И она их убила."
Черное пятно - 2,"Жили мать с дочкой. Однажды они переехали в новый дом. Там на потолке было черное пятно. - Мама, а почему здесь черное пятно? - спросила дочка. - Я белила-белила, а оно не забеливается, - ответила та. - Мама, а зачем тебе такие длинные ногти? - спросила дочь. - Так модно, - ответила мать. - Мама, а для чего тебе черное платье, черные туфли и черный зонт? - спросила девочка. - Чтобы на похороны ходить, - ответила мать.  Ночью дочь не спала и увидела, как мать оделась во все черное, взяла зонтик и пошла по стене. Она ткнула концом зонта в черное пятно - пятно открылось, и она зашла. А там сидели черти. Они  спросили ее: - Есть хочешь?  Она сказала: - Хочу.  Черти принесли ей гроб. Она открыла его и съела мертвеца.   На другую ночь мать ушла на работу. Дочка оделась, как мать, и пошла по стене. Она ткнула кончиком зонта в это пятно - и оно открылось. Она зашла - а там черти. Они спросили ее: - Есть хочешь? - Хочу. - Ей принесли гроб и сказали: - Открывай. - У меня нет ногтей. - А где твои ногти? - Я их сломала. - Черти открыли ей гроб. Она съела мертвеца.  На следующую ночь снова пошла мать. Черти спросили ее: - Есть хочешь? - Хочу. - Они принесли ей гроб. Мать открыла. Черти сказали: - У тебя вчера не было ногтей. Мать догадалась, что вчера приходила дочка. И сказала черту: - Днем превратишься в мяч и покатишься к моей  дочери. Когда она стукнет тебя три раза, превратишься обратно в черта, и задушишь ее!  Так все и случилось. (Он так и сделал.)"
Красная дорога,"По радио объявили, что в городе стали пропадать люди, которые шли по дороге красного цвета. Но две девочки не слышали это сообщение и отправились гулять. Мама сказала им, чтобы они вернулись домой до наступления темноты. Девочки весь день играли на улице и не заметили, как быстро стало темнеть. Одна из девочек предложила подруге уже пойти домой, но та ответила, что еще не так уж и темно и до дома совсем недалеко идти. Они опять стали играть и не заметили, как наступила глубокая ночь.  Девочкам стало страшно, и они отправились искать дорогу домой. Они долго не могли найти в темноте, куда им надо идти. Когда наступило 12 часов ночи, девочки вдруг увидели небольшую дорогу. Дорога была ярко-красного цвета. Она показалась девочкам странной, но делать было нечего, и они решили пойти по ней.  Красная дорога уводила девочек все дальше и дальше. Девочки увидели, что они идут через кладбище. Девочкам стало еще страшнее, и они хотели уже вернуться назад, но вдруг увидели, что дорога начинает заканчиваться, и пошли вперед.   Красная дорога привела девочек к могиле с открытым гробом. Они заглянули в гроб и увидели там лестницу, ведущую вниз. По этой лестнице к ним поднимался скелет. Девочки попытались убежать, но скелет догнал их и стал душить. Из девочек потекла кровь, образуя Красную дорогу."
Ведьмина дочка,"В одной сельской школе училась странная девочка. Никто никогда не видел ее маму, и она никого не приглашала в гости. Однажды мальчики решили посмотреть, куда же она идет. И стали за ней следить.  Девочка пошла в морг, легла на полку и уснула. Мальчишкам стало интересно, что она станет делать дальше. И они тоже легли на полки. Ночью пришла мама девочки, сказала слово ""Мра"" и мальчики больше не проснулись.   Утром приехала милиция и застрелила ведьму. А девочка нашла мамину книгу, сказала ""Мра"" и мальчики ожили."
Папа-черт- 2,"Жила-была семья. Папа пас овец в горах, мама была дома, а сын помогал маме. Однажды была большая гроза, а папа не возвращался домой, а утром пришли только овцы. И вот прошел уже год. Мама пошла пасти овец и сказала сыну: - Закрой дверь и никого не впускай, пока я не прийду, - и ушла.  Вечером началась гроза, сверкали молнии  и гремел гром. Мама все еще не возвращалась. Вдруг в дверь постучали. Мальчик спросил: - Кто там? - а ему и говорят: - Это я, твой папа, открой дверь.  А мальчик слышит голос папы, но отвечает: - Нет. Мама говорила никому не открывать. - А голос говорит: - Да нет же, я - папа. Только мама и я знаем, что у тебя на локте родинка.   Мальчик смотрит - и правда. Взял и открыл дверь, а там стоит папа весь мокрый. Сын спрашивает: - Папа, где ты был? - А папа говорит: - Да ладно, о себе расскажи. Я смотрю, ты уже совсем взрослый стал. - Сын говорит: - Да вот тяжело стало, как ты пропал. Мама овец пасет, а я вот по дому... - Да, - говорит отец, - нелегко. Давай поужинаем.  Сели они есть, а гроза усилилась. И вдруг в дверь стук и крик: - Сынок, это не твой папа! СЫНОК, ЭТО НЕ ТВОЙ ПАПА!!!  У мальчика даже вилка упала от испуга. Он наклонился за ней, смотрит... и говорит: - Папа, а что это у тебя там?   - ДА!!! КОПЫТА!!!!!!"
Желтые дорожки,"Была одна деревня, и по этой деревне ходили слухи про заброшенное поместье, которое находилось в глубине леса. И ходило поверье, что если вечером найти это поместье, то из него уже не сможешь выбраться. И вот однажды в эту деревню приехала одна семья - отец, мать, дочь и сын. И вот вечером они собрались прогуляться по лесу. Местные жители предупредили их не ходить в лес вечером, но семья их не послушала.  Идут они по лесу и видят впереди какое-то здание. Они решили посмотреть, что это такое. Как только они подошли к зданию, начался дождик. Семья решила спрятаться в здании. Дождь становился все сильнее и сильнее. Тогда семья решила осмотреть здание и остаться там на ночь.   В одной из комнат мальчик нашел книгу. Он решил открыть ее. На первый взгляд книга была довольно обычная, но когда он ее открыл, в ней все страници были склеены, кроме первой, а на первой странице был нарисован его отец, повешенный на дереве. Мальчик не придал этому значения.   На следующее утро семья встала, но на месте не было отца. И в этот момент раздался ужасающий вопль. Все выбежали на улицу.... и увидели повешенного отца. В панике они начали искать выход оттуда, но кругом были желтые дорожки. Они бежали по одной, а возвращались обратно уже по другой. Так они пробегали весь день.   Уже темнело, и они снова решили переночевать в здании.  Мальчик снова открыл книгу, но первая страница была склеена, но следующую можно было посмотреь. На той странице была нарисована рука матери, тонущей в болоте.  Рано утром раздались страшные вопли. Мальчик с девочкой побежали на крик, но они смогли увидеть только кисть, торчащую из болота. В еще большей панике мальчик с девочкой искали выход, но все тщетно. Кругом были желтые дорожки.  Мальчик решил больше не открывать книгу, но ее нашла девочка. Открыла. Первые три страници были склеены, а на четвертой был нарисован мальик в окружении всякой нечести и в огне. Девочка не поверила этому.  Уже темнело, а мальчика все не было. Девочка пошла его искать. Она долго его искала, а когда нашла, не поверила своим глазам. Мальчик был окружен всякими чертями и непонятными существами. Он был наклот на трезубец и горел в пламени огня. Девочка попыталась убежать. Она бегала, бегала, бегала в поисках выхода.  На следующее утро ее нашли грибники. У нее случился разрыв сердца."
Отрезанная рука,"Один студент по имени Петя приехал в незнакомый город, и остался ночевать у своего товарища. Когда Петя осматривал комнаты, то натолкнулся на отрезанную руку, привязанную 3-мя цепями. Он ужасно испугался, но хозяин рассказал ему свою историю.   Дело в том, что однажды он подрался со своим другом и во время драки отрубил ему руку. Через несколько лет друг хозяина умер, а, умирая, сказал ему, что эта отрубленная рука прилетит к нему и отомстит. Хозяин не придал этому значения, но скоро рука действительно прилетела к нему, но хозяин квартиры её поймал и приковал цепью к ковру.  Через некоторое время рука вырвалась и попробовала задушить хозяина, но тот снова схватил её и приковал 2-мя цепями. Рука опять вырвалась и  попробовала задушить хозяина, но он поймал её и приковал 3-мя цепями.  - И, - сказал товарищ Пете, заканчивая свой рассказ, - я уже несколько лет живу спокойно, т.к. из 3-ёх цепей рука не может вырваться. Так что можешь спать спокойно, - добавил он.  На следующий день, когда Петя проснулся , он позвал хозяина, но тот не откликнулся. Петя пошёл в комнату к хозяину и увидел, что хозяин лежит задушенный, цепи сорваны, и руки нет..."
Лестница и ее кошмары,"В старом доме, построенном еще до революции, жила одна девочка с родителями и сестрой. А по соседству жила старая-престарая бабка, ей было лет 90 или даже 100. И эта бабка, когда в дом заходила, всегда ровно через 3 ступеньки перепрыгивала. Ну, Неля и Света (сестры) и заинтересовались, почему? А тут их мать еще с работы не вернулась. Ее так и не нашли...  Наутро Света заметила, что у нее и у сестры все ноги как будто иголками исколоты. Неля вообще с кровати встать не могла, так сильно ноги болели. И тут девочка вспомнила, что мама часто жаловалась на боль в ногах. Света побежала к старухе и стала ее расспрашивать о лестнице. Старуха ей посоветовала прийти к лестнице в полночь. До полнолуния еще неколько дней оставалось, и девочка решила подождать. А тут и Неля из школы не пришла.  Тогда Света пошла ночью к лестнице (а до полнолуния еще день оставался). И она видит, что под лестницей свет горит. Она туда заглянула, а там человек весь в крови с ее сестры кожу сдирает и мясо ест. А на стенке кожа ее мамы. Тут она споткнулась, и человек ее заметил. Он уже поймал ее, и тут она заметила, что это ее отец.  Оказалось, он сидел под лестницей и через трубочку пил у всех кровь, а когда люди уже не могли ходить, он утаскивал их под лестницу и ел их мясо. Только в полнолуние он становился нормальным.  Эту историю та бабка рассказала. А маньяка так и не поймали..."
Автобус с чёрными шторками,"Мама послала девочку в самый дальний магазин, и сказала никогда не садиться в автобус с чёрными шторками.   Девочка пошла на остановку, подъехал автобус с чёрными шторками, она не села в него. Автобус подъехал второй раз, она опять не села. Подъехал в третий раз, ей надоело ждать и она села в него.   Водитель автобуса сказал, чтобы взрослые пропустили детей первыми. Дети вошли в автобус и сели на сиденья, двери автобуса закрылись и он поехал. По пути у сидений автобуса появились руки и задушили детей. Водитель повёз их на свалку и выбросил.    Так автобус убивал всех детей."
Библиотека,"В школьной библиотеке появилась новая библиотекарша. Каждый день в полночь в библиотеке кто-то был, там разлетались книги, падали шкафы. Каждое утро в библиотеке был беспорядок, а директор школы каждое утро там сидел. Ученики решили проверить, почему так рано директор там.   Вот они пошли туда ночью и увидели скелета, это был директор. Вдруг дверь открылась, и вошел директор, но это был не настоящий директор, а библиотекарша в коже директора. У неё в руке был нож. Наутро детей не было."
Черный приемник,"Мама сказала мальчику: - Купи приемник. Только белый, черный не бери.  Мальчик не послушался, купил черный. Мама уходила на работу и сказала мальчику: - Не включай приемник.  Когда она ушла, мальчик включил приемник. Оттуда вышла Черная Женщина с красным длинным зубом и говорит: - Мальчик, мальчик, принеси мне тазик.  Он принес. Она говорит: - Мальчик, мальчик, дай мне нож.  Он дал. Она говорит: - Мальчик, мальчик, дай мне воды.   Он дал. Женщина выпила, стала большой-большой, раздулась, потянулась к нему руками, вонзила в него зуб, разрезала на куски, сложила в тазик.  Когда мама пришла, женщина испугалась, полезла в приемник. Залезла, а зуб торчит. Мама схватилась за зуб и дернула. Вырвала зуб,  а оттуда - змеи поползли, зашипели. Мама убежала из квартиры и в нее больше никто не входил. Ночью в 12 часов оттуда слышались шипенье и стоны. Кто туда входил, женщина вонзала в того зуб, и тот умирал. Живым никто не вышел."
Машина времени,"Один мальчик, его звали Федя, пошел с классом на экскурсию в зоологический музей. Там они смотрели животных, но Федя отстал от класса и увидел странного дяденьку, который зашёл в комнату. Любопытный Федя незаметно зашёл туда.  Там он увидел что-то странное: кусок стены с дверью. Решив, что это комната, где реставрируют экспонаты, Федя пошёл к выходу. Но по пути он споткнулся и с грохотом упал! На шум прибежал тот самый дядя, и позвал Федю и сказал:  - Мальчик! Зайди в эту дверь, там много конфет!  Федя подумал и решил отказаться. Но дядя что-то напечатал, как на клавиатуре, и когда Федя сказал, что он не хочет идти, то дядя силой запихал Федю в машину! Федя сначала летел, а потом вдруг упал на что-то мягкое! Это была спина мамонта, а дверь - это машина времени!  За мамонтом гнались дикие люди с копьями! Федя подумал, что эти люди похожи на людей из учебника истории. Он хотел вспомнить, как эти люди назывались, но вдруг земля ушла из-под ног мамонта, и он вместе с Федей полетел в пропасть!  ... В наше время американский археолог находит останки мамонта и древнего человека. Посмотрев на останки человека, он взял в руку череп и с удивлением сказал:  - Этот череп очень похож на череп современного человека!"
Красная роза,"Одна тетка пошла в магазин. Дочка ее увидела там красную розу и стала просить купить ее. Но мать сначала не хотела покупать. Девочка заплакала, и мать решила купить ее.  Когда они купили розу, они пошли домой и поставили на пианино. Вечером они легли спать. Но девочка не спала и любовалась розой. И вдруг она увидела, что роза стала расти и становилась все больше и больше. Вдруг роза стала совсем большой, и из нее вышел красный человек. Он пошел по коридору, шел долго, а потом зашел в какую-то дверь и исчез.  Наутро девочка рассказала об этом отцу  с матерью. Мать пошла в милицию и позвала милиционеров на ночь. И они спрятались, стали наблюдать за этой розой.  Роза опять стала большой и оттуда вылез красный человек. Милиционеры стали стрелять в него, но все было без толку. Он все шел и шел. Наконец, он зашел в ту комнату и через некоторое время зашли туда и милиционеры.   Там они увидели этого человека. Он купался в бассейне, а там была кровь. Потом он вылез и умер."
Фонтан и серые крысы,"В одном городе был прекрасный фонтан. Весь город ходил смотреть и любоваться на его белые водяные струи. Однажды из фонтана потекла кровь. Она лилась три дня. На город напал ужас и страх.  Назначили следователя. Следователь приказал рыть под фонтаном землю. Вырыли большую яму. Под фонтаном оказался глубокий подземный ход. Первым в него спустился милиционер. Он не вернулся. Следователь надел железные сапоги, железный бронежилет, железные перчатки и спустился в глубокий подземный ход.   Подземный ход привел его в черное подземелье. На земле следователь увидел много объеденных, изгрызанных человеческих костей. Вдруг на него набросились большие серые крысы. Они стали кусать и грызть его ноги, но не могли прогрызть железные сапоги. Следователь железными перчатками задушил одну большую крысу, прошел через все подземелье и выбрался на другом конце города. И увидел, что огромные серые крысы выползают ночью в город, нападают на людей и утаскивают их в черное подземелье.  Следователь приказал затопить подземелье водой. Белые водяные струи фонтана направили в подземный ход. Вода заполнила страшное подземелье, и крысы утонули."
Черный кошелек,"Жила в одном городе мама с дочкой. Однажды мама послала дочь в магазин за хлебом. Когда девочка возвращалась домой, она нашла кошелек черного цвета. Она пришла домой, отдала маме хлеб, а про кошелек ей ничего не сказала.   Девочка вошла к себе в комнату, закрыла на замок дверь. Она села возле окна и стала рассматривать кошелек. Она его открыла, и вдруг кошелек выпал у нее из рук. Из кошелька послышался страшный голос, резко закрылись шторы, и оттуда вышла ведьма. Она была одета в черном, как и кошелек.   Девочка подбежала к большой иконе, которая стояла на полу, и спряталась за нее. Ведьма издала страшный вопль и скрылась в кошельке. Девочка пронзила кошелек ножом, и оттуда потекла кровь. Затем девочка выбежала из комнаты и вдруг увидела, что ее мама лежит с ножом в теле.  С тех пор девочка живет у бабушки и знает, что нельзя брать чужие вещи."
Пластилиновые человечки,"В одном городе жил художник. Он придумал и вылепил пластилиновых человечков. Целый год художник делал им страшные рожи, вставлял в них сложные механизмы. Пластилиновые человечки начинали двигаться. Потом он покрасил их фосфором, и они в темноте светились.   В мастерскую художник пригласил друзей. Решил, что их напугают пластилиновые человечки. И спрятался. Друзья пришли. Пластилиновых человечков в мастерской не было, они исчезли.  В городе стали происходить страшные вещи. Ночью на улице появлялись светящиеся человечки со страшными рожами и пугали людей. Многие прохожие от ужаса и страха умерли. Об этом заговорил в городе репродуктор. Художник услышал и не поверил. Ночью он вышел на улицу. Вдруг из подвала вылезли светящиеся фосфором пластилиновые человечки. Их страшные рожи художник сразу узнал. Они набросились на него и залепили рот пластилином. Художник умер.  В город приехал следователь. Ночью он выследил пластилиновых человечков. Он не испугался и стал стрелять в них из пистолета. Пули застревали в пластилиновых телах и не причиняли им вреда. Пластилиновые человечки жутко улыбались и строили страшные рожи. Следователь стал думать, как их одолеть, и придумал. Он достал паяльную лампу, поднес к ней горящую спичку и огонь направил на пластилиновых человечков. Пластилин стал размягчаться, залепил механические внутренности, и они сломались. Пластилиновых человечков не стало."
Пиковая Дама - 2,"Однажды 2 девочки пытались вызвать Пиковую даму. Они нарисовали на зеркале (мылом) домик и ступеньки. Через несколько секунд появилось чёрное пятно, которое поднималось по ступенькам в домик.  На следующий день девочек нашли с картами в руках (у каждой девочки было по карте - это была пиковая дама). На самом деле, чтоб уничтожить Пиковую даму, нужно просто стереть домик с зеркала."
